course_code,title,credits,description,source
CSCI 3552,Design of Computer Animation I,3 Credits,"Use of commercial 3-D computer animation packages to create digital artistic works. Principles of animation, including timing, exaggeration of motion, and anticipation; use of a storyboard; modeling; motion; rendering and editing. (Fall, Every year)",bulletin
CSCI 3571,Introduction to Bioinformatics,3 Credits,"The use of computational techniques in molecular biology, genetics, and evolution; techniques and software for database searching, sequence alignment, gene finding, phylogenetics, genomics, and proteomics. Prerequisites:BISC 1111andBISC 1112. Same As:BISC 2584.",bulletin
CSCI 3907,Special Topics in Computer Science,1-3 Credits,Topics vary by semester. Can be repeated for credit provided the topics differ. Consult the Schedule of Classes for more information.,bulletin
CSCI 3908,Research,1-3 Credits,"Applied research and experimentation projects, as arranged. Restricted to juniors and seniors. (Fall and spring, Every year)",bulletin
CSCI 4223,Principles of Programming Languages,3 Credits,"Fundamental concepts underlying design of programming languages. Detailed study of functional and object-oriented computational models. Types, evaluation, abstraction, control flow, modules, mutation, laziness, polymorphism, subtyping, inheritance. Practice learning new languages. Students cannot receive credit for bothCSCI 4223taken while an undergraduate andCSCI 6223taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 4223andCSCI 6223. Prerequisites:CSCI 1311andCSCI 2113. (Spring, Odd years)",bulletin
CSCI 4235,Development of Open-Source Software,3 Credits,"Design, process, tools, and culture of open-source software development. Cross-platform development and testing. Geographic dispersal, social and team dynamics, licenses (GPL, BSD, other); code reuse (modular code, shared libraries); very-large-scale distributed development techniques (CVS, Bugzilla, release-management, mailing-lists). May be taken for graduate credit. Prerequisite:CSCI 2113orCSCI 6221.",bulletin
CSCI 4237,Software Design for Handheld Devices,3 Credits,"Design of interactive software for handheld devices. Event driven programming, user interface design practices, memory management, handheld debugging techniques. May be taken for graduate credit. Prerequisites:CSCI 2113orCSCI 6221.",bulletin
CSCI 4243,Capstone Design Project I,3 Credits,"Planning, design, and construction of the capstone project. Economic analysis of the project. Application of software engineering principles, including software requirements, specification, requirements engineering, reuse, documentation, verification/validation, testing, configuration management. Report writing and presentations. Prerequisite: senior status.",bulletin
CSCI 4243W,Capstone Design Project I,4 Credits,"Planning, design, and construction of the capstone project; economic analysis of the project; application of software engineering principles, including software requirements, specification, requirements engineering, reuse, documentation, verification/validation, testing, configuration management. Includes a significant engagement in writing as a form of critical inquiry and scholarly expression to satisfy the WID requirement. Prerequisites:CSCI 3212andCSCI 3411. (Fall, Every year)",bulletin
CSCI 4244,Capstone Design Project II,4 Credits,"Continuation ofCSCI 4243. ​Planning, design, and construction of the capstone project. Economic analysis of the project. Application of software engineering principles. Restricted to seniors. Prerequisites:CSCI 4243orCSCI 4243W. (Spring, Every year)",bulletin
CSCI 4331,Cryptography,3 Credits,"Introduction to modern cryptography with a focus on formal definitions and provably-secure constructions. Topics include secret-key and public-key encryption, message-authentication codes, digital signatures, and advanced topics. Prerequisites: One of the following:CSCI 2312,CSCI 3212,CSCI 3313,MATH 2971, orMATH 2971W. Credit cannot be earned for this course andCSCI 6331. (Fall, Every year)",bulletin
